"",WORD_FREQ_MAKE,WORD_FREQ_ADDRESS,WORD_FREQ_ALL,WORD_FREQ_3D,WORD_FREQ_OUR,WORD_FREQ_OVER,WORD_FREQ_REMOVE,WORD_FREQ_INTERNET,WORD_FREQ_ORDER,WORD_FREQ_MAIL,WORD_FREQ_RECEIVE,WORD_FREQ_WILL,WORD_FREQ_PEOPLE,WORD_FREQ_REPORT,WORD_FREQ_ADDRESSES,WORD_FREQ_FREE,WORD_FREQ_BUSINESS,WORD_FREQ_EMAIL,WORD_FREQ_YOU,WORD_FREQ_CREDIT,WORD_FREQ_YOUR,WORD_FREQ_FONT,WORD_FREQ_000,WORD_FREQ_MONEY,WORD_FREQ_HP,WORD_FREQ_HPL,WORD_FREQ_GEORGE,WORD_FREQ_650,WORD_FREQ_LAB,WORD_FREQ_LABS,WORD_FREQ_TELNET,WORD_FREQ_857,WORD_FREQ_DATA,WORD_FREQ_415,WORD_FREQ_85,WORD_FREQ_TECHNOLOGY,WORD_FREQ_1999,WORD_FREQ_PARTS,WORD_FREQ_PM,WORD_FREQ_DIRECT,WORD_FREQ_CS,WORD_FREQ_MEETING,WORD_FREQ_ORIGINAL,WORD_FREQ_PROJECT,WORD_FREQ_RE,WORD_FREQ_EDU,WORD_FREQ_TABLE,WORD_FREQ_CONFERENCE,CHAR_FREQ_;,CHAR_FREQ_(,CHAR_FREQ_[,CHAR_FREQ_!,CHAR_FREQ_$,CHAR_FREQ_#,CAPITAL_RUN_LENGTH_AVERAGE,CAPITAL_RUN_LENGTH_LONGEST,CAPITAL_RUN_LENGTH_TOTAL,SPAM
0,-0.347922,1.161025,0.675889,-0.046644,-0.007737,-0.350205,-0.295731,-0.263265,-0.325617,-0.378366,-0.307836,0.084763,-0.315759,-0.176899,-0.185016,0.082979,-0.325939,2.035313,0.119664,-0.168068,0.130489,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,-0.525294,-0.164364,0.589246,-0.317325,-0.105071,-0.049117,0.044398,-0.021310,1
1,0.352150,0.368433,0.404391,-0.046644,-0.269470,0.664297,0.232922,-0.092630,-0.325617,1.053337,0.832571,0.254753,1.785947,0.429994,0.393121,-0.142743,-0.172972,0.168638,0.990434,-0.168068,0.678689,-0.122848,0.937611,0.785391,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.173120,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,-0.043936,-0.164364,0.107759,0.433676,0.005053,-0.008143,0.244841,1.191142,1
2,-0.147901,-0.248027,0.811639,-0.046644,1.315470,0.338207,0.182574,0.029252,1.943000,0.002406,1.755758,-0.130557,0.072248,-0.176899,7.041695,-0.243064,-0.194824,1.554782,-0.202634,0.464941,-0.261083,-0.122848,3.015639,-0.071742,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.004000,-0.130233,-0.178329,0.307224,-0.131987,-0.248734,-0.139383,-0.073094,-0.116407,-0.120407,-0.003822,-0.164364,-0.006090,0.450365,-0.082129,0.133876,2.169089,3.181179,1
3,-0.347922,-0.248027,-0.565245,-0.046644,0.443026,-0.350205,0.484661,1.272445,0.773244,0.581180,1.375622,-0.289213,0.686593,-0.176899,-0.185016,0.070439,-0.325939,-0.348856,0.826458,-0.168068,-0.435115,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,-0.025702,-0.164364,-0.170935,-0.317325,-0.105071,-0.055724,-0.060834,-0.161954,1
4,-0.347922,-0.248027,-0.565245,-0.046644,0.443026,-0.350205,0.484661,1.272445,0.773244,0.581180,1.375622,-0.289213,0.686593,-0.176899,-0.185016,0.070439,-0.325939,-0.348856,0.826458,-0.168068,-0.435115,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,-0.032996,-0.164364,-0.173306,-0.317325,-0.105071,-0.055724,-0.060834,-0.161954,1
5,-0.347922,-0.248027,-0.565245,-0.046644,2.216995,-0.350205,-0.295731,4.246360,-0.325617,-0.378366,-0.307836,-0.640525,-0.315759,-0.176899,-0.185016,-0.318305,-0.325939,-0.348856,-0.971626,-0.168068,-0.704864,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,0.287910,-0.164364,-0.333407,-0.317325,-0.105071,-0.071927,-0.186110,-0.383429,1
6,-0.347922,-0.248027,-0.565245,-0.046644,2.318780,-0.350205,-0.295731,-0.263265,-0.325617,0.596410,4.905454,0.810051,-0.315759,-0.176899,-0.185016,0.885548,-0.325939,0.242565,1.205299,-0.168068,-0.147962,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,-0.328375,-0.164364,-0.138914,-0.092025,-0.105071,-0.112025,-0.241232,-0.289666,1
7,-0.347922,-0.248027,-0.565245,-0.046644,2.260617,-0.350205,-0.295731,4.319489,-0.325617,-0.378366,-0.307836,-0.640525,-0.315759,-0.176899,-0.185016,-0.318305,-0.325939,-0.348856,-0.971626,-0.168068,-0.704864,-0.122848,-0.286433,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,0.225917,-0.164364,-0.333407,-0.317325,-0.105071,-0.088521,-0.206155,-0.391512,1
8,0.152130,-0.248027,0.326820,-0.046644,0.413944,-0.350205,0.459487,-0.263265,2.935519,0.779181,3.819352,0.402077,-0.315759,-0.176899,-0.185016,-0.318305,-0.325939,-0.071627,-0.276140,6.814804,1.035454,-0.122848,-0.286433,0.136750,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,0.083763,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,1.083609,-0.131987,-0.306107,-0.204025,-0.073094,-0.116407,-0.160010,0.462949,-0.164364,-0.118754,0.529637,-0.054598,0.131553,1.968647,1.561344,1
9,-0.147901,0.016170,0.927995,-0.046644,-0.196766,0.809226,0.660878,-0.263265,-0.112934,-0.378366,-0.307836,0.084763,0.492589,-0.176899,0.310530,-0.318305,-0.325939,-0.127073,-0.027349,-0.049379,-0.087051,-0.122848,0.254424,-0.210737,-0.34241,-0.3085,-0.208346,-0.240163,-0.170587,-0.236121,-0.164102,-0.149368,-0.179822,-0.151691,-0.203473,-0.257148,-0.338037,-0.061566,-0.187653,-0.191804,-0.130233,-0.178329,-0.210366,-0.039110,-0.306107,-0.204025,-0.073094,-0.116407,-0.001596,-0.415895,-0.164364,-0.044040,0.020625,-0.105071,-0.110275,-0.045801,0.740110,1
